"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"scaled_energy","bbs_rtrg_1_11",50,-0.00490685073646585,0.0548986925436282,5
"scaled_energy","bbs_rtrg_1_11",51,-0.00585879273399068,0.0485758989179786,5
"scaled_energy","bbs_rtrg_1_11",52,-0.00376966138140497,0.0559944786929987,5
"scaled_energy","bbs_rtrg_1_11",53,-0.00358135526181406,0.0574581867358419,5
"scaled_energy","bbs_rtrg_1_11",54,-0.00401351143223404,0.0466052415226217,5
"scaled_energy","bbs_rtrg_1_11",55,-0.00577061064643093,0.0459946412817287,5
"scaled_energy","bbs_rtrg_1_11",56,-0.00598365446883105,0.0568766607466043,5
"scaled_energy","bbs_rtrg_1_11",57,-0.0033939397134543,0.0523385018562861,5
"scaled_energy","bbs_rtrg_1_11",58,-0.000909444331675872,0.0603184679347619,5
"scaled_energy","bbs_rtrg_1_11",59,-0.0031320887734858,0.0607389235175618,5
"scaled_energy","bbs_rtrg_1_11",60,-0.00516409503937694,0.045026734333762,5
"scaled_energy","bbs_rtrg_1_11",61,-0.00339180129650294,0.0488635747275285,5
"scaled_energy","bbs_rtrg_1_11",62,-0.00437809856187111,0.0496936872343502,5
"scaled_energy","bbs_rtrg_1_11",63,-0.0063338006463974,0.0457628554895773,5
"scaled_energy","bbs_rtrg_1_11",64,-0.00350450645085226,0.0464371135302653,5
"scaled_energy","bbs_rtrg_1_11",65,-0.00210255969891272,0.0476180747879235,5
"scaled_energy","bbs_rtrg_1_11",66,-0.00199491733605165,0.0524981628356673,5
"scaled_energy","bbs_rtrg_1_11",67,-0.00304001624022373,0.0455395073012225,5
"scaled_energy","bbs_rtrg_1_11",68,-0.00187014203894133,0.0601862681498647,5
"scaled_energy","bbs_rtrg_1_11",69,-0.00117762013195972,0.0590340242358,5
"scaled_energy","bbs_rtrg_1_11",70,-0.00337019930838747,0.0588253347746371,5
"scaled_energy","bbs_rtrg_1_11",71,-0.00697531102237839,0.0487758789782598,5
"scaled_energy","bbs_rtrg_1_11",72,-0.0045079178540697,0.0445395793842691,5
"scaled_energy","bbs_rtrg_1_11",73,-0.00315253178531913,0.0547517416609923,5
"scaled_energy","bbs_rtrg_1_11",74,-0.00521761345073482,0.0496433755729287,5
"scaled_energy","bbs_rtrg_1_11",75,-0.000514821094995444,0.0585193449720997,5
"scaled_energy","bbs_rtrg_1_11",76,-0.0022543961519767,0.0543986627150446,5
"scaled_energy","bbs_rtrg_1_11",77,-0.00331624022190866,0.0477918710993462,5
"scaled_energy","bbs_rtrg_1_11",78,-0.00316518710457585,0.0503258323069505,5
"scaled_energy","bbs_rtrg_1_11",79,-0.00241714285891807,0.0509748991365415,5
"scaled_energy","bbs_rtrg_1_11",80,-0.0037561562667046,0.0528438244473277,5
"scaled_energy","bbs_rtrg_1_11",81,-0.00222576964074989,0.0506869985774168,5
"scaled_energy","bbs_rtrg_1_11",82,-0.00591872298658663,0.0442426155797752,5
"scaled_energy","bbs_rtrg_1_11",83,-0.00540489755505934,0.0510444364302142,5
"scaled_energy","bbs_rtrg_1_11",84,-0.0039090826808599,0.0517681795000239,5
"scaled_energy","bbs_rtrg_1_11",85,-0.00668591786785498,0.0491200508243558,5
"scaled_energy","bbs_rtrg_1_11",86,-0.00354034973579248,0.0441681894216533,5
"scaled_energy","bbs_rtrg_1_11",87,-0.00397936126660514,0.0523860279481194,5
"scaled_energy","bbs_rtrg_1_11",88,-0.00446958168063135,0.0530206397868815,5
"scaled_energy","bbs_rtrg_1_11",89,-0.00551627893262429,0.0519602576649638,5
"scaled_energy","bbs_rtrg_1_11",90,-0.00237058077609517,0.0542190550945111,5
"scaled_energy","bbs_rtrg_1_11",91,-0.00366708496660542,0.0525828807769301,5
"scaled_energy","bbs_rtrg_1_11",92,-0.00346246762563414,0.0477243076624817,5
"scaled_energy","bbs_rtrg_1_11",93,-0.00304503814036832,0.0498314535711617,5
"scaled_energy","bbs_rtrg_1_11",94,-0.00132834825318555,0.0598722943624668,5
"scaled_energy","bbs_rtrg_1_11",95,-0.00354926397005407,0.0507381439268499,5
"scaled_energy","bbs_rtrg_1_11",96,-0.00256377676095931,0.0478424466012553,5
"scaled_energy","bbs_rtrg_1_11",97,-0.00238801972422993,0.0531590889686411,5
"scaled_energy","bbs_rtrg_1_11",98,-0.00465388386921324,0.0479553340274156,5
"scaled_energy","bbs_rtrg_1_11",99,-0.00425388275980395,0.0532510083964997,5
"scaled_energy","bbs_rtrg_1_11",100,-0.00458617177717133,0.0490925844157384,5
"abundance","bbs_rtrg_1_14",1,0.0240917571283799,0.0287051795647857,5
"abundance","bbs_rtrg_1_14",2,0.0237453974170851,0.0272241747790605,5
"abundance","bbs_rtrg_1_14",3,0.0248582716457374,0.0286506088324648,5
"abundance","bbs_rtrg_1_14",4,0.0239389632719861,0.0283097275822691,5
"abundance","bbs_rtrg_1_14",5,0.0242537759488766,0.0272310801927829,5
"abundance","bbs_rtrg_1_14",6,0.0239737258574995,0.0277945559200012,5
"abundance","bbs_rtrg_1_14",7,0.0245972668704408,0.0280025299708807,5
"abundance","bbs_rtrg_1_14",8,0.0238757076374286,0.027427820223937,5
"abundance","bbs_rtrg_1_14",9,0.0234515361901577,0.0273720545057643,5
"abundance","bbs_rtrg_1_14",10,0.0246054893197754,0.02820573427234,5
"abundance","bbs_rtrg_1_14",11,0.023909111310406,0.0277791757084309,5
"abundance","bbs_rtrg_1_14",12,0.0250365518660987,0.028713094300295,5
"abundance","bbs_rtrg_1_14",13,0.0255219309469627,0.0279615909032329,5
"abundance","bbs_rtrg_1_14",14,0.0231412250788379,0.0267693543892394,5
"abundance","bbs_rtrg_1_14",15,0.0248294520869457,0.0292637795011148,5
"abundance","bbs_rtrg_1_14",16,0.0232611392990892,0.0271446787297638,5
"abundance","bbs_rtrg_1_14",17,0.0248717653715064,0.0280696036971684,5
"abundance","bbs_rtrg_1_14",18,0.0243178630162972,0.0287694235103144,5
"abundance","bbs_rtrg_1_14",19,0.0238753970404718,0.0276920895505039,5
"abundance","bbs_rtrg_1_14",20,0.0247501985351995,0.0286839572896176,5
"abundance","bbs_rtrg_1_14",21,0.0241933976077033,0.0277483166719864,5
"abundance","bbs_rtrg_1_14",22,0.0246881980682591,0.0302811450469595,5
"abundance","bbs_rtrg_1_14",23,0.0242117777738368,0.0278556213798358,5
"abundance","bbs_rtrg_1_14",24,0.0242355939803691,0.0276264838214059,5
"abundance","bbs_rtrg_1_14",25,0.0244503769863046,0.0278593910388174,5
"abundance","bbs_rtrg_1_14",26,0.0241750601900039,0.0287710227321211,5
"abundance","bbs_rtrg_1_14",27,0.0243706021704149,0.0278769541617661,5
"abundance","bbs_rtrg_1_14",28,0.0242358838300328,0.0283881533390294,5
"abundance","bbs_rtrg_1_14",29,0.0249428414730917,0.0280821708648526,5
"abundance","bbs_rtrg_1_14",30,0.0249825878874454,0.0289913394781689,5
"abundance","bbs_rtrg_1_14",31,0.0252754539795725,0.0287742711231976,5
"abundance","bbs_rtrg_1_14",32,0.0232814478156451,0.0275461554718951,5
"abundance","bbs_rtrg_1_14",33,0.0231714522533752,0.0283471567975743,5
"abundance","bbs_rtrg_1_14",34,0.0247904432172568,0.0296699495953437,5
"abundance","bbs_rtrg_1_14",35,0.0245900421844882,0.028205646495516,5
"abundance","bbs_rtrg_1_14",36,0.0239555689493031,0.0271064517178885,5
"abundance","bbs_rtrg_1_14",37,0.0234886672392027,0.0278014714557591,5
"abundance","bbs_rtrg_1_14",38,0.0245790180336351,0.0292493990817466,5
"abundance","bbs_rtrg_1_14",39,0.0247517907759436,0.0292164019040508,5
"abundance","bbs_rtrg_1_14",40,0.023946566981937,0.0274968041364407,5
"abundance","bbs_rtrg_1_14",41,0.0233282609781653,0.0282651937656717,5
"abundance","bbs_rtrg_1_14",42,0.0239147332598069,0.0277561297916383,5
"abundance","bbs_rtrg_1_14",43,0.0251544702507323,0.0277930209390095,5
"abundance","bbs_rtrg_1_14",44,0.0249449038629289,0.028221333454919,5
"abundance","bbs_rtrg_1_14",45,0.0240843602633576,0.0279561059015515,5
"abundance","bbs_rtrg_1_14",46,0.0244210694209197,0.0281158063397127,5
"abundance","bbs_rtrg_1_14",47,0.0248051085246915,0.0285457967237115,5
"abundance","bbs_rtrg_1_14",48,0.0239753246723457,0.0293399715786848,5
"abundance","bbs_rtrg_1_14",49,0.0263687163994265,0.030661814611897,5
"abundance","bbs_rtrg_1_14",50,0.0254696019372258,0.0288150112329332,5
"abundance","bbs_rtrg_1_14",51,0.0233573465639713,0.0285469763613859,5
"abundance","bbs_rtrg_1_14",52,0.0237112228202937,0.0285931043471761,5
"abundance","bbs_rtrg_1_14",53,0.0252993602945188,0.0284946671323922,5
"abundance","bbs_rtrg_1_14",54,0.0248829008248276,0.0291568329321053,5
"abundance","bbs_rtrg_1_14",55,0.0229276125857944,0.0279747656785104,5
"abundance","bbs_rtrg_1_14",56,0.0241344398966422,0.0294332982411658,5
"abundance","bbs_rtrg_1_14",57,0.0239452093979981,0.0277118938423787,5
"abundance","bbs_rtrg_1_14",58,0.024388053305457,0.0284846618601115,5
"abundance","bbs_rtrg_1_14",59,0.0243996556529299,0.0290943111477056,5
"abundance","bbs_rtrg_1_14",60,0.0236479695259633,0.0273828836093381,5
"abundance","bbs_rtrg_1_14",61,0.0247847462565215,0.028199198115996,5
"abundance","bbs_rtrg_1_14",62,0.0240435577467338,0.027927661264525,5
"abundance","bbs_rtrg_1_14",63,0.0248110756518249,0.027717467235068,5
"abundance","bbs_rtrg_1_14",64,0.02410604639294,0.0277201577429562,5
"abundance","bbs_rtrg_1_14",65,0.0235208798656968,0.0273516983374969,5
"abundance","bbs_rtrg_1_14",66,0.023685648787938,0.0283861988390857,5
"abundance","bbs_rtrg_1_14",67,0.023405302177688,0.0280109345806646,5
"abundance","bbs_rtrg_1_14",68,0.0247915985704971,0.0285729741612693,5
"abundance","bbs_rtrg_1_14",69,0.0255235684704416,0.0287077878963617,5
"abundance","bbs_rtrg_1_14",70,0.0229367635206965,0.0272228736809298,5
"abundance","bbs_rtrg_1_14",71,0.0244655202521099,0.0287636208689729,5
"abundance","bbs_rtrg_1_14",72,0.0229597901105784,0.0282249614493629,5
"abundance","bbs_rtrg_1_14",73,0.0244381206336722,0.0285173693281194,5
"abundance","bbs_rtrg_1_14",74,0.0235012769373145,0.0281372357273209,5
"abundance","bbs_rtrg_1_14",75,0.0251399839696494,0.0276685613748243,5
"abundance","bbs_rtrg_1_14",76,0.0254344298015389,0.0291088623967092,5
"abundance","bbs_rtrg_1_14",77,0.0248858421279697,0.0292977500804474,5
"abundance","bbs_rtrg_1_14",78,0.0251761083333193,0.0290680847028815,5
"abundance","bbs_rtrg_1_14",79,0.0255765170617544,0.0291355628863304,5
"abundance","bbs_rtrg_1_14",80,0.0220574271624446,0.0273089595077758,5
"abundance","bbs_rtrg_1_14",81,0.0245586524397922,0.0293096888916649,5
"abundance","bbs_rtrg_1_14",82,0.0250564004742698,0.0283811360757487,5
"abundance","bbs_rtrg_1_14",83,0.023243152051822,0.0284719591964478,5
"abundance","bbs_rtrg_1_14",84,0.0250006214477552,0.0286477956611976,5
"abundance","bbs_rtrg_1_14",85,0.0235430719375372,0.0279412420702889,5
"abundance","bbs_rtrg_1_14",86,0.0242392605326555,0.028870937100794,5
"abundance","bbs_rtrg_1_14",87,0.0244590095609716,0.0273103584986936,5
"abundance","bbs_rtrg_1_14",88,0.0240269117081419,0.0286145949015919,5
"abundance","bbs_rtrg_1_14",89,0.0245304176530865,0.0287080434194666,5
"abundance","bbs_rtrg_1_14",90,0.0236646205072191,0.0286269228755781,5
"abundance","bbs_rtrg_1_14",91,0.0237695912415338,0.0290921064487255,5
"abundance","bbs_rtrg_1_14",92,0.0243915278855191,0.0282225363786128,5
"abundance","bbs_rtrg_1_14",93,0.0234526166651016,0.0288772112579938,5
"abundance","bbs_rtrg_1_14",94,0.0234004741492248,0.0282310134074223,5
"abundance","bbs_rtrg_1_14",95,0.0244544583920789,0.0279599685993604,5
"abundance","bbs_rtrg_1_14",96,0.0231368415452216,0.0285799063401781,5
"abundance","bbs_rtrg_1_14",97,0.024826734387022,0.028169548013505,5
"abundance","bbs_rtrg_1_14",98,0.0244957851026535,0.0276305103361896,5
"abundance","bbs_rtrg_1_14",99,0.0245077794420865,0.0281776771374649,5
"abundance","bbs_rtrg_1_14",100,0.0227874019043116,0.0275893120209708,5
"scaled_energy","bbs_rtrg_1_14",1,0.0194860078058073,0.0194860078058073,5
"scaled_energy","bbs_rtrg_1_14",2,0.0189740172342266,0.0191233697170465,5
"scaled_energy","bbs_rtrg_1_14",3,0.020407864991382,0.020407864991382,5
