"draw","start","end","net_change","net_proportional","currency","identifier","k"
75,819.060177730284,471.482119565923,-347.57805816436,-0.424362052526521,"abundance","bbs_rtrg_1_11",5
76,815.11121459923,455.073924180768,-360.037290418462,-0.44170327186025,"abundance","bbs_rtrg_1_11",5
77,812.891866032052,460.091486234869,-352.800379797184,-0.434006532159436,"abundance","bbs_rtrg_1_11",5
78,791.427847467503,454.878942932322,-336.548904535181,-0.425242687140852,"abundance","bbs_rtrg_1_11",5
79,808.845497361347,451.393729016705,-357.451768344642,-0.441928365195501,"abundance","bbs_rtrg_1_11",5
80,811.634530117201,477.017132753551,-334.61739736365,-0.412275950501183,"abundance","bbs_rtrg_1_11",5
81,780.69244433619,472.905136499389,-307.787307836801,-0.394249118292041,"abundance","bbs_rtrg_1_11",5
82,797.883092113498,473.323725375936,-324.559366737563,-0.406775591494041,"abundance","bbs_rtrg_1_11",5
83,827.516467874283,456.295854733075,-371.220613141208,-0.448596043163705,"abundance","bbs_rtrg_1_11",5
84,804.591459491183,469.337996920513,-335.25346257067,-0.416675392978546,"abundance","bbs_rtrg_1_11",5
85,814.012648860047,473.518999044358,-340.493649815689,-0.41829036722282,"abundance","bbs_rtrg_1_11",5
86,829.068779134108,460.382375250042,-368.686403884066,-0.444699418387371,"abundance","bbs_rtrg_1_11",5
87,812.949289122544,475.419146951398,-337.530142171145,-0.415192124142772,"abundance","bbs_rtrg_1_11",5
88,795.572919225909,449.602477846081,-345.970441379829,-0.434869555032689,"abundance","bbs_rtrg_1_11",5
89,808.734926568148,457.581218695814,-351.153707872334,-0.43420123990743,"abundance","bbs_rtrg_1_11",5
90,742.475206874213,490.559917423279,-251.915289450934,-0.339291180525052,"abundance","bbs_rtrg_1_11",5
91,831.374411402453,458.976235951803,-372.39817545065,-0.447930764217831,"abundance","bbs_rtrg_1_11",5
92,822.573198841934,461.980626352387,-360.592572489548,-0.438371409373914,"abundance","bbs_rtrg_1_11",5
93,786.959058449254,468.153931944465,-318.805126504789,-0.405110180868891,"abundance","bbs_rtrg_1_11",5
94,837.676606997534,457.26993857485,-380.406668422684,-0.45412115516293,"abundance","bbs_rtrg_1_11",5
95,825.614189736583,469.848972193165,-355.765217543418,-0.430909766287965,"abundance","bbs_rtrg_1_11",5
96,771.098818473811,472.425346341946,-298.673472131864,-0.38733488494122,"abundance","bbs_rtrg_1_11",5
97,783.554408644565,476.584834766677,-306.969573877887,-0.391765486214161,"abundance","bbs_rtrg_1_11",5
98,817.46985370475,486.598350550122,-330.871503154628,-0.40475070934436,"abundance","bbs_rtrg_1_11",5
99,804.088746164913,465.1524509205,-338.936295244414,-0.421516028996754,"abundance","bbs_rtrg_1_11",5
100,843.740041044651,468.256206074725,-375.483834969926,-0.445023131182719,"abundance","bbs_rtrg_1_11",5
1,431.335833004589,1038.89362833218,607.557795327588,1.40854932245132,"scaled_energy","bbs_rtrg_1_14",5
2,453.222756625356,1068.27500067023,615.052244044873,1.35706390522948,"scaled_energy","bbs_rtrg_1_14",5
3,432.284092114129,1085.77477118614,653.490679072007,1.51171576977548,"scaled_energy","bbs_rtrg_1_14",5
4,436.224424864152,1057.04820467292,620.823779808766,1.42317519245306,"scaled_energy","bbs_rtrg_1_14",5
5,419.763086549946,1028.90549789169,609.142411341746,1.45115764310844,"scaled_energy","bbs_rtrg_1_14",5
6,438.676908023809,1060.71034106924,622.033433045433,1.41797624098251,"scaled_energy","bbs_rtrg_1_14",5
7,429.293822467254,1088.96919367198,659.675371204724,1.53665237345698,"scaled_energy","bbs_rtrg_1_14",5
8,437.078262529743,1035.53026898434,598.452006454594,1.36921017986766,"scaled_energy","bbs_rtrg_1_14",5
9,426.603705444166,1038.25212395582,611.648418511657,1.43376255458172,"scaled_energy","bbs_rtrg_1_14",5
10,445.094262294483,1059.43766506245,614.343402767967,1.38025459955605,"scaled_energy","bbs_rtrg_1_14",5
11,424.185418907346,1092.32762926781,668.142210360468,1.57511828690747,"scaled_energy","bbs_rtrg_1_14",5
12,424.338759694505,1101.81625748779,677.477497793288,1.59654870622949,"scaled_energy","bbs_rtrg_1_14",5
13,411.697211654983,1054.14558853076,642.448376875776,1.56048755903203,"scaled_energy","bbs_rtrg_1_14",5
14,414.666939770086,1066.9067997494,652.239859979318,1.57292467140244,"scaled_energy","bbs_rtrg_1_14",5
15,419.473164743828,1079.71666052737,660.243495783538,1.5739826794087,"scaled_energy","bbs_rtrg_1_14",5
16,438.496990331909,1057.90972884969,619.412738517777,1.412581504947,"scaled_energy","bbs_rtrg_1_14",5
17,439.728720109006,1066.02094807556,626.292227966552,1.42426955376328,"scaled_energy","bbs_rtrg_1_14",5
18,418.698773243423,1051.13386677104,632.435093527618,1.51047754123687,"scaled_energy","bbs_rtrg_1_14",5
