"year","richness","abundance","biomass","energy","mean_energy","mean_mass","site_name","time","scaled_energy"
2002.5,6,197,6782,15638.2405104221,79.3819315249854,34.4263959390863,"portal_rats",50,164.241384463321
1987,38,348,27705.5401007107,68980.7526218021,198.220553510925,79.6136209790537,"mccoy",NA,220.489259365648
1988,37,360,35615.6630217166,78951.9081453434,219.310855959287,98.932397282546,"mccoy",NA,252.360942593854
1989,39,349,32445.6822230577,73610.7277571489,210.918990708163,92.967570839707,"mccoy",NA,235.288456963143
1990,38,565,60518.661021445,137759.926450687,243.822878673782,107.112674374239,"mccoy",NA,440.334194668933
1991,38,356,42532.3849082598,95029.6959583706,266.93734819767,119.472991315337,"mccoy",NA,303.751792829546
1992,46,540,48061.3379724835,114303.861605814,211.673817788545,89.0024777268214,"mccoy",NA,365.359507256722
1993,47,651,62384.0428226521,143660.1697301,220.676143978648,95.8280227690508,"mccoy",NA,459.193662293003
1994,33,473,44097.1426271205,111156.535675819,235.003246671922,93.2286313469779,"mccoy",NA,355.299431990631
1995,31,409,122636.303615954,193818.631897255,473.88418556786,299.844263119692,"mccoy",NA,619.519575737161
1996,33,427,164903.627030983,241100.11089345,564.637262045551,386.191164006985,"mccoy",NA,770.649534303146
1998,37,361,190088.213624032,259362.863952379,718.456686848695,526.560148543026,"mccoy",NA,829.024381530723
2000,42,609,69518.413382197,157287.952712008,258.272500348126,114.151746111982,"mccoy",NA,502.753346150772
2001,41,556,71039.2576881627,143590.391964935,258.256100656358,127.768449079429,"mccoy",NA,458.9706254722
2002,39,486,54513.8788393326,117973.409704048,242.743641366353,112.168474978051,"mccoy",NA,377.08880726628
2003,42,575,81166.4315184531,158042.942731194,274.857291706425,141.15901133644,"mccoy",NA,505.166587291696
2004,43,375,77650.5612238256,136855.217074544,364.947245532116,207.068163263535,"mccoy",NA,437.442392351544
2005,39,293,57604.8592358952,102950.061052334,351.365396083052,196.603615139574,"mccoy",NA,329.068353857058
2006,40,319,45554.2833190671,91944.4094635526,288.226988913958,142.803395984536,"mccoy",NA,293.890019678086
2007,37,269,64047.9830622111,107781.799133887,400.675833211478,238.096591309335,"mccoy",NA,344.512464142304
2008,40,389,93667.964285675,158728.197010147,408.04163755822,240.791681968316,"mccoy",NA,507.356925939809
2009,35,211,37652.0140235067,69054.6843633099,327.273385608104,178.445564092449,"mccoy",NA,220.725573907155
2010,34,270,50257.0581418959,96165.7730503614,356.169529816153,186.137252377392,"mccoy",NA,307.383136169169
2011,33,227,33424.9861446248,73419.562092034,323.434194238035,147.246634998347,"mccoy",NA,234.677417298957
2012,23,195,31068.4201532366,66263.7055865926,339.813874803039,159.325231555059,"mccoy",NA,211.804522454476
2013,33,251,39136.6055319497,84819.0981452389,337.924693805733,155.922731202987,"mccoy",NA,271.114759107384
2014,35,305,39503.2465911108,82973.5657851783,272.044477984191,129.51884128233,"mccoy",NA,265.21572136513
2017,37,383,89179.0238312727,149165.955907927,389.467247801377,232.843404259198,"mccoy",NA,476.792291916986
2018,34,352,48549.8046845383,96598.5052061587,274.427571608406,137.925581490166,"mccoy",NA,308.766316098483
1987,50,817,79609.6484444545,209753.769171732,256.736559573724,97.441430164571,"cranbury",NA,828.120147640728
1988,47,1278,115844.941402758,314346.215038902,245.967304412286,90.6454940553664,"cranbury",NA,1241.05724076496
1989,46,1126,102589.791835158,278744.40039971,247.55275346333,91.1099394628401,"cranbury",NA,1100.4991944819
